"동별(1)","항목",2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"동대문구","등록외국인",18724,203,144,96,1085,7424,4876,1522,882,561,415,472,508,296,132,55,21,13,13,4,2,-,18224,164,169,100,428,6412,5584,1762,979,611,431,452,495,357,147,72,27,14,12,6,2,-
"중랑구","계",387470,8732,10761,11661,12605,20107,31371,32466,26636,28624,25230,32386,33157,34779,28861,18949,14371,10259,4626,1465,371,53,387433,8517,10481,11591,12569,19854,31145,32571,26610,28519,25110,32057,33346,34813,29376,19192,14538,10352,4832,1540,365,55
"중랑구","한국인",382155,8519,10595,11541,12419,19480,30562,31756,26061,28233,24906,31984,32746,34562,28756,18909,14360,10256,4624,1462,371,53,381966,8331,10311,11461,12425,19257,30266,31844,25972,28116,24780,31677,32934,34537,29258,19142,14520,10349,4830,1536,365,55
"중랑구","등록외국인",5315,213,166,120,186,627,809,710,575,391,324,402,411,217,105,40,11,3,2,3,-,-,5467,186,170,130,144,597,879,727,638,403,330,380,412,276,118,50,18,3,2,4,-,-
"성북구","계",438168,9940,14438,16618,19576,36085,35824,30430,27585,32866,31527,38938,32656,31271,27016,18559,15132,11814,5615,1778,439,61,436901,9619,14081,16488,19454,35780,35810,30313,27379,32399,31309,38712,32951,31326,27287,18659,15258,11868,5868,1826,450,64
"성북구","한국인",425602,9796,14301,16497,18505,31557,33136,29275,26838,32296,31140,38592,32357,31080,26920,18518,15112,11803,5608,1773,439,59,424881,9505,13947,16352,18929,31813,32809,29069,26575,31798,30897,38357,32646,31115,27178,18610,15235,11855,5861,1818,450,62
"성북구","등록외국인",12566,144,137,121,1071,4528,2688,1155,747,570,387,346,299,191,96,41,20,11,7,5,-,2,12020,114,134,136,525,3967,3001,1244,804,601,412,355,305,211,109,49,23,13,7,8,-,2
"강북구","계",292977,4640,7102,9062,10434,18018,22262,19557,16329,20189,20213,26054,24715,25785,22325,16248,13568,10265,4554,1312,295,50,291372,4447,6892,8924,10274,17837,22010,19569,16002,19826,19950,25834,24815,25626,22633,16314,13649,10307,4763,1330,326,44
"강북구","한국인",288113,4546,7029,9012,10129,16825,21330,19048,15949,19890,20012,25817,24448,25605,22251,16211,13549,10260,4551,1309,295,47,286400,4358,6815,8877,10120,16630,20910,19053,15600,19515,19745,25607,24565,25417,22541,16267,13626,10300,4761,1327,325,41
"강북구","등록외국인",4864,94,73,50,305,1193,932,509,380,299,201,237,267,180,74,37,19,5,3,3,-,3,4972,89,77,47,154,1207,1100,516,402,311,205,227,250,209,92,47,23,7,2,3,1,3
"도봉구","계",309494,5621,8725,10594,11941,17031,21238,20350,17859,21687,21194,27718,26874,28226,24879,16236,12747,9928,4653,1572,363,58,308864,5514,8420,10473,11770,16895,21058,20431,17684,21420,21013,27476,27083,28055,25275,16577,12847,9931,4870,1643,359,70
"도봉구","한국인",306948,5568,8674,10569,11803,16584,20855,20022,17585,21487,21027,27537,26726,28137,24841,16221,12743,9926,4651,1571,363,58,306346,5473,8368,10442,11710,16462,20678,20083,17388,21210,20856,27298,26913,27970,25232,16555,12840,9929,4868,1642,359,70
"도봉구","등록외국인",2546,53,51,25,138,447,383,328,274,200,167,181,148,89,38,15,4,2,2,1,-,-,2518,41,52,31,60,433,380,348,296,210,157,178,170,85,43,22,7,2,2,1,-,-
